Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status
London Borough of Wandsworth,Central Family Court,Central Family Court,5960,,,356855,"First Avenue House, High Holborn, WC1V 6NP",,Closed
London Borough of Westminster,Central Family Court,Central Family Court,5990,,,356855,"First Avenue House, High Holborn, WC1V 6NP",,Closed
Luton Borough Council ,Luton Justice Centre,Luton Justice Centre,230,,,365554,"Arndale House, Floors 4 & 5, Luton Point, Luton, LU1 2EN",,Open
Manchester City Council,Manchester Civil Justice Centre,Manchester County And Family Court,4215,,,701411,"Bridge Street West, M60 9DJ",,Open
Medway County Council,Canterbury DFC,Canterbury Combined Court Centre,2280,,,259679,"The Law Courts, Chaucer Barracks, Chaucer Road, CT1 1ZA",,Open
Merthyr Tydfil County Council,Merthyr Tydfil Combined Court,Merthyr Tydfil Combined Court Centre,6925,,,448345,"The Law Courts, Glebeland Place, CF47 8BH",,Open
Middlesbrough Borough Council ,Teesside Combined Court ,Teesside Combined Court Centre,734,,,195537,"The Combined Centre, Russell Street, Middlesbrough, TS1 2AE",,Open
Milton Keynes City Council  ,Milton Keynes County Court,Milton Keynes County Court And Family Court,435,,,815997,"Silbury Boulevard, MK9 2AJ",,Closed
Monmouthshire County Council,Newport Civil and Family Court,Newport (South Wales) County Court And Family Court,6840,,,217250,"The Concourse, Clarence House, Clarence Place, Newport, Gwent, NP19 7AA",,Open
Neath Port Talbot County Borough Council,SwanseaDFC,Swansea Civil And Family Justice Centre,6930,,,234946,"Caravella House, Quay Parade, SA1 1SP",,Open
Newcastle City Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4510,,,366796,"Barras Bridge, Newcastle-Upon-Tyne, NE1 8QF",,Open
Newport City Council,Newport Civil and Family Court,Newport (South Wales) County Court And Family Court,6935,,,217250,"The Concourse, Clarence House, Clarence Place, Newport, Gwent, NP19 7AA",,Open
Norfolk County Council,Norwich Combined Court,Norwich Combined Court Centre,2600,,,471332,"The Law Courts, Bishopgate, NR3 1UR",,Open
North East Lincolnshire Council ,Kingston upon Hull Combined Court,Kingston-Upon-Hull Combined Court Centre,2002,,,195520,"The Combined Court Centre, HU1 2EZ",,Open
North Lincolnshire Council ,Kingston upon Hull Combined Court,Kingston-Upon-Hull Combined Court Centre,2003,,,195520,"The Combined Court Centre, HU1 2EZ",,Open
North Northamptonshire Council,"Northampton Crown, County & Family Court","Northampton Crown Court, County Court And Family Court",2840,,,195489,"85 - 87 Lady's Lane, Northampton, NN1 3HQ",,Open
North Tyneside Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4515,,,366796,"Barras Bridge, Newcastle-Upon-Tyne, NE1 8QF",,Open
North Yorkshire County Council ,York Combined Court,York County Court And Family Court,2745,,,107581,"Picadilly House, 55 Picadilly, YO1 9WL",,Open
