Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status,DFJ Area,Region,Path Finder Enabled,
South Norfolk District Council,Norwich County Court,Norwich Combined Court Centre,2630,,,471332,"The Law Courts, Bishopgate,NR3 1UR",,Open,Norfolk,South East,FALSE,
Ashfield District Council,Nottingham Family Court,Nottingham County Court And Family Court,3005,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands,FALSE,
Bassetlaw District Council,Nottingham Family Court,Nottingham County Court And Family Court,3010,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands,FALSE,
Broxtowe Borough Council,Nottingham Family Court,Nottingham County Court And Family Court,3015,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands,FALSE,
Gedling Borough Council,Nottingham Family Court,Nottingham County Court And Family Court,3020,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands,FALSE,
Mansfield District Council,Nottingham Family Court,Nottingham County Court And Family Court,3025,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands,FALSE,
Newark & Sherwood District Council,Nottingham Family Court,Nottingham County Court And Family Court,3030,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands,FALSE,
Rushcliffe Borough Council,Nottingham Family Court,Nottingham County Court And Family Court,3040,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands,FALSE,
Cambridge City Council,Peterborough Combined Court Centre,Peterborough Combined Court Centre,505,,,471569,"Crown Buildings, Rivergate,PE1 1EJ",,Open,Cambridgeshire,South East,FALSE,
East Cambridgeshire District Council,Peterborough Combined Court Centre,Peterborough Combined Court Centre,510,,,471569,"Crown Buildings, Rivergate,PE1 1EJ",,Open,Cambridgeshire,South East,FALSE,
Fenland District Council,Peterborough Combined Court Centre,Peterborough Combined Court Centre,515,,,471569,"Crown Buildings, Rivergate,PE1 1EJ",,Open,Cambridgeshire,South East,FALSE,
Huntingdonshire District Council,Peterborough Combined Court Centre,Peterborough Combined Court Centre,520,,,471569,"Crown Buildings, Rivergate,PE1 1EJ",,Open,Cambridgeshire,South East,FALSE,
South Cambridgeshire District Council,Peterborough Combined Court Centre,Peterborough Combined Court Centre,530,,,471569,"Crown Buildings, Rivergate,PE1 1EJ",,Open,Cambridgeshire,South East,FALSE,
Basingstoke And Deane Borough Council,Basingstoke Combined Court,Basingstoke County Court And Family Court,1705,,,457273,"The Court House, London Road,RG21 4AB",,Open,Hampshire County Council ,South West,TRUE,
East Hampshire District Council,Portsmouth Combined Court,Portsmouth Combined Court Centre,1710,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Hampshire County Council ,South West,TRUE,
Eastleigh Borough Council,Southampton Combined Court,Southampton Combined Court Centre,1715,,,43104,"The Courts of Justice, London Road,SO15 2XQ",,Open,Southampton City Council ,South West,TRUE,
Fareham Borough Council,Portsmouth Combined Court,Portsmouth Combined Court Centre,1720,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Hampshire County Council ,South West,TRUE,
Gosport Borough Council,Portsmouth Combined Court,Portsmouth Combined Court Centre,1725,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Hampshire County Council ,South West,TRUE,
Hart District Council,Basingstoke Combined Court,Basingstoke County Court And Family Court,1730,,,457273,"The Court House, London Road,RG21 4AB",,Open,Hampshire County Council ,South West,TRUE,
Havant Borough Council,Portsmouth Combined Court,Portsmouth Combined Court Centre,1735,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Hampshire County Council ,South West,TRUE,
Isle Of Wight Council,Portsmouth Combined Court,Portsmouth Combined Court Centre,2114,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Hampshire County Council ,South West,TRUE,
New Forest District Council,Southampton Combined Court,Southampton Combined Court Centre,1740,,,43104,"The Courts of Justice, London Road,SO15 2XQ",,Open,Southampton City Council ,South West,TRUE,
Rushmoor Borough Council,Basingstoke County Court,Basingstoke County Court And Family Court,1750,,,457273,"The Court House, London Road,RG21 4AB",,Open,Hampshire County Council ,South West,TRUE,
Southampton City Council,Portsmouth Combined Court,Portsmouth Combined Court Centre,1780,,,460592,"Courts of Justice, Winston Churchill Avenue,PO1 2EB",,Open,Hampshire County Council ,South West,TRUE,
