Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status,DFJ Area,Region
Barnsley Metropolitan Borough Council,Sheffield Designated Family Court,Sheffield Family Hearing Centre,4405,,,778638,"48 West Bar, Sheffield, South Yorkshire,S3 8PH",,Open,South Yorkshire,North East
Bedford Borough Council ,Luton Justice Centre,Arndale House,235,,,365554,"Floors 4 & 5, Arndale House, The Mall, Luton,LU1 2TH",,Open,Bedfordshire,South East
Birmingham City Council,Birmingham Civil & Family Justice Centre,Birmingham Civil And Family Justice Centre,4605,,,231596,"Priory Courts, 33 Bull Street,B4 6DS",,Open,Birmingham & Solihull,Midlands
Blackburn with Darwen Borough Council ,Preston Crown Court and Family Court (Sessions House),Preston Family Court,2372,,,102476,"Sessions House, Lancaster Road,PR1 2PD",,Open,Lancashire,North West
Blackpool Borough Council,Preston Crown Court and Family Court (Sessions House),Preston Family Court,2373,,,102476,"Sessions House, Lancaster Road,PR1 2PD",,Open,Lancashire,North West
Blaenau Gwent County Borough Council,Newport Civil and Family Court,Newport (South Wales) County Court And Family Court,6910,,,217250,"The Concourse, Clarence House, Clarence Square, Newport,NP19 7AA",,Open,South East Wales,Wales
Bolton Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4205,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Bracknell Forest Council,Reading County Court,Reading County Court And Family Court,335,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East
Bridgend County Borough Council,Swansea DFC,Swansea Civil And Family Justice Centre,6915,,,234946,"Quay West, Quay Parade,SA1 1SP",,Open,South West Wales,Wales 
Brighton and Hove City County Council,Brighton DFC,Brighton County And Family Court,1445,,,298390,"1 Edward Street Brighton East Sussex,BN2 0JD",,Open,Sussex,South East
Buckinghamshire County Council  ,Milton Keynes County Court,Milton Keynes County Court And Family Court,440,,,815997,"Silbury Boulevard,MK9 2DT",,Open,Buckinghamshire,South East
Bury Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4210,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
