Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status,DFJ Area,Region
Monmouthshire County Council,Newport Civil and Family Court,Newport (South Wales) County Court And Family Court,6840,CF81;CF82;CF83,,217250,"The Concourse, Clarence House, Clarence Square, Newport,NP19 7AA",,Open,South East Wales,Wales
Caerphilly County Borough Council,Cardiff Civil Justice Centre,Cardiff Civil And Family Justice Centre,6920,,,234850,"Park Street, Cardiff,CF10 1ET",,Open,South East Wales,Wales
Calderdale Metropolitan Borough Council,Leeds Combined Court,Leeds Combined Court Centre,4710,,,455174,"Oxford Row,LS1 3BG",,Open,West Yorkshire,North East
Cambridgeshire County Council ,Peterborough County Court,Peterborough Combined Court Centre,535,,,471569,"Crown Buildings, Rivergate,PE1 1EJ",,Open,Cambridgeshire,South East
Cardiff City Council,Cardiff Civil Justice Centre,Cardiff Civil And Family Justice Centre,6815,,,234850,"Park Street, Cardiff,CF10 1ET",,Open,South East Wales,Wales
Carmarthen County Council,Swansea DFC,Swansea Civil And Family Justice Centre,6825,,,234946,"Quay West, Quay Parade,SA1 1SP",,Open,South West Wales,Wales 
Central Bedfordshire Council ,Luton Justice Centre,Arndale House,240,,,365554,"Floors 4 & 5, Arndale House, The Mall, Luton,LU1 2TH",,Open,Bedfordshire,South East
Ceredigion County Council,Swansea DFC,Swansea Civil And Family Justice Centre,6820,,,234946,"Quay West, Quay Parade,SA1 1SP",,Open,South West Wales,Wales
Cheshire East Borough Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,660,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
Cheshire West and Chester Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,665,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
City and County of Swansea,Swansea DFC,Swansea Civil And Family Justice Centre,6855,,,234946,"Quay West, Quay Parade,SA1 1SP",,Open,South West Wales,Wales 
City of Bradford Metropolitan District Council,Leeds Combined Court,Leeds Combined Court Centre,4705,,,455174,"Oxford Row,LS1 3BG",,Open,West Yorkshire,North East
City of London,Central Family Court,Central Family Court,5030,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
Conwy County Borough Council,Caernarfon DFC,Caernarfon Justice Centre,6905,,,366572,"Llanberis Road,LL55 2DF",,Open,North Wales,Wales 
Coventry City Council,Coventry Combined Court Centre,Coventry Combined Court Centre,4610,,,497679,"Much Park Street, Coventry,CV1 2SN",,Open,Coventry & Warwickshire,Midlands
Cumberland Council,Carlisle Combined Court,Carlisle Combined Court,940,,,45106,"Courts of Justice, Earl Street,CA1 1DJ",,Open,Cumbria,North West
Cyngor Gwynedd  Council,Caernarfon DFC,Caernarfon Justice Centre,6810,,,366572,"Llanberis Road,LL55 2DF",,Open,North Wales,Wales
Darlington Borough Council ,Teesside Combined Court ,Teesside Combined Court Centre,1350,,,195537,"The Combined Centre, Russell Street, Middlesbrough,TS1 2AE",,Open,Cleveland and South Durham,North East
Denbighshire County  Council,Wrexham DFC,Wrexham Law Courts,6830,,,637145,"Bodhyfyd, The Law Courts,LL12 7BP",,Open,North Wales,Wales
Derby City Council,Derby Combined Court Centre,Derby Combined Court Centre,1055,,,201339,"The Morledge,DE1 2XE",,Open,Derbyshire,Midlands
Derbyshire County Council,Derby Combined Court Centre,Derby Combined Court Centre,1050,,,201339,"The Morledge,DE1 2XE",,Open,Derbyshire,Midlands
Doncaster Council ,Sheffield Designated Family Court,Sheffield Family Hearing Centre,4410,,,778638,"48 West Bar, Sheffield, South Yorkshire,S3 8PH",,Open,South Yorkshire,North East
Dudley Metropolitan Borough Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,4615,,,41047,"Pipers Row, Wolverhampton,WV1 3LQ",,Open,Black Country & Shropshire,Midlands
Durham County Council,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,1355,,,366796,"Barras Bridge, Newcastle-Upon-Tyne,NE99 1NA",,Open,Newcastle and North Durham,North East
Durham County Council ,Teesside Combined Court ,Teesside Combined Court Centre,1355,,,195537,"The Combined Centre, Russell Street, Middlesbrough,TS1 2AE",,Open,Cleveland and South Durham,North East
East Riding of Yorkshire Council ,Kingston upon Hull Combined Court,Kingston-Upon-Hull Combined Court Centre,2001,,,195520,"The Combined Court Centre,HU1 2EZ",,Open,Humberside,North East
East Sussex County Council,Brighton DFC,Brighton County And Family Court,1440,,,298390,"1 Edward Street Brighton East Sussex,BN2 0JD",,Open,Sussex,South East
Essex County Council,Chelmsford DFC,Chelmsford County And Family Court,1585,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East
Flintshire County Council,Wrexham DFC,Wrexham Law Courts,6835,,,637145,"Bodhyfyd, The Law Courts,LL12 7BP",,Open,North Wales,Wales 
Gateshead Metropolitan District Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4505,,,366796,"Barras Bridge, Newcastle-Upon-Tyne,NE99 1NA",,Open,Newcastle and North Durham,North East
Halton Borough Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,650,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
Herefordshire Council,Worcester Combined Court,Worcester Combined Court,1850,,,102050,"Shire Hall, Foregate Street,WR1 1EQ",,Open,Hereford & Worcester,Midlands
Hertfordshire County Council,Watford County Court,Watford County Court And Family Court,1900,,,403751,"Station Road, Cassiobury House,WD17 1EZ",,Open,Hertfordshire,South East
Hull City Council ,Kingston upon Hull Combined Court,Kingston-Upon-Hull Combined Court Centre,2004,,,195520,"The Combined Court Centre,HU1 2EZ",,Open,Humberside,North East
Isle of Anglesey County  Council,Caernarfon DFC,Caernarfon Justice Centre,6805,,,366572,"Llanberis Road,LL55 2DF",,Open,North Wales,Wales
Kent County Council,Medway County Court and Family Court,Medway County Court Anchorage House,2275,,,487294,"47-67 High Street Chatham Kent,ME4 4DW",,Open,Kent,South East
Kirklees Council ,Leeds Combined Court,Leeds Combined Court Centre,4715,,,455174,"Oxford Row,LS1 3BG",,Open,West Yorkshire,North East
Knowsley Metropolitan Borough Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,4305,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
Lancashire County Council,Preston Crown Court and Family Court (Sessions House),Preston Combined Court Centre,2371,,,232580,"The Law Courts, Openshaw Place, Ringway, PR1 2LL",,Open,Lancashire,North West
Leeds City Council ,Leeds Combined Court,Leeds Combined Court Centre,4720,,,455174,"Oxford Row,LS1 3BG",,Open,West Yorkshire,North East
Leicester City,Leicester County Court & Family Court ,Leicester Crown Court,2465,,,425094,"90 Wellington Street, Leicester,LE1 6HG",,Open,Leicestershire,Midlands
Leicestershire County Council,Leicester County Court & Family Court ,Leicester Crown Court,2460,,,425094,"90 Wellington Street, Leicester,LE1 6HG",,Open,Leicestershire,Midlands
Lincolnshire County Council,Lincoln County Court & Family Court,Lincoln County Court And Family Court,2500,,,195465,"High Street,LN5 7PS",,Open,Lincolnshire,Midlands
Liverpool City Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,4310,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
London Borough of Barking and Dagenham,East London Family Court,East London Family Court,5060,,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Barnet,West London Family Court,West London Family Court,5090,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Bexley,East London Family Court,East London Family Court,5120,,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Brent ,West London Family Court,West London Family Court,5150,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Bromley,East London Family Court,East London Family Court,5180,,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Camden,Central Family Court,Central Family Court,5210,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Croydon,East London Family Court,East London Family Court,5240,,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Ealing ,West London Family Court,West London Family Court,5270,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Enfield ,West London Family Court,West London Family Court,5300,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Greenwich ,Central Family Court,Central Family Court,5330,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,East London,London
London Borough of Hackney,Central Family Court,Central Family Court,5360,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Hammersmith and Fulham,Central Family Court,Central Family Court,5390,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Haringey,West London Family Court,West London Family Court,5420,N2;N6;N8;N10;N11;N15;N17;N22,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Haringey,Central Family Court,Central Family Court,5420,N4,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Harrow ,West London Family Court,West London Family Court,5450,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Havering ,East London Family Court,East London Family Court,5480,,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Hillingdon ,West London Family Court,West London Family Court,5510,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Hillingdon ,West London Family Court,West London Family Court,5510,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Hounslow ,West London Family Court,West London Family Court,5540,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Islington,Central Family Court,Central Family Court,5570,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Kensington and Chelsea ,Central Family Court,Central Family Court,5600,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Kingston ,West London Family Court,West London Family Court,5630,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Lambeth,Central Family Court,Central Family Court,5660,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Lewisham ,Central Family Court,Central Family Court,5690,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,East London,London
London Borough of Merton ,West London Family Court,West London Family Court,5720,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Newham,East London Family Court,East London Family Court,5750,,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Redbridge ,East London Family Court,East London Family Court,5780,,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Richmond,West London Family Court,West London Family Court,5810,,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Southwark ,Central Family Court,Central Family Court,5840,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Sutton,West London Family Court,West London Family Court,5870,KT4;SM1;SM2;SM3;SM4;SM5;SM6;SM7,,373584,"Gloucester House, 4 Dukes Green, Feltham, Middlesex,TW14 0LR",,Open,West London,London
London Borough of Sutton,East London Family Court,East London Family Court,5870,CR0;CR4;CR5,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Tower Hamlets,East London Family Court,East London Family Court,5900,,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Waltham Forest,East London Family Court,East London Family Court,5930, E7;E11;E15;IG8,,898213,"Westferry Circus (Westferry House), Part Ground, 6th And 7th Floors, 11 Westferry Circus, Canary Wharf, London, E14 4HE,E14 4HD",,Open,East London,London
London Borough of Waltham Forest,Central Family Court,Central Family Court,5930, E4;E10;E17,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Wandsworth,Central Family Court,Central Family Court,5960,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
London Borough of Westminster,Central Family Court,Central Family Court,5990,,,356855,"First Avenue House, High Holborn,WC1V 6NP",,Open,Central London,London
Luton Borough Council ,Luton Justice Centre,Arndale House,230,,,365554,"Floors 4 & 5, Arndale House, The Mall, Luton,LU1 2TH",,Open,Bedfordshire,South East
Manchester City Council,Manchester Civil Justice Centre,Manchester County And Family Court,4215,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Medway County Council,Medway County Court and Family Court,Medway County Court Anchorage House,2280,,,487294,"47-67 High Street Chatham Kent,ME4 4DW",,Open,Kent,South East
Merthyr Tydfil County Council,Cardiff Civil Justice Centre,Cardiff Civil And Family Justice Centre,6925,,,234850,"Park Street, Cardiff,CF10 1ET",,Open,South East Wales,Wales
Middlesbrough Borough Council ,Teesside Combined Court ,Teesside Combined Court Centre,734,,,195537,"The Combined Centre, Russell Street, Middlesbrough,TS1 2AE",,Open,Cleveland and South Durham,North East
Milton Keynes City Council  ,Milton Keynes County Court,Milton Keynes County Court And Family Court,435,,,815997,"Silbury Boulevard,MK9 2DT",,Open,Buckinghamshire,South East
Monmouthshire County Council,Newport Civil and Family Court,Newport (South Wales) County Court And Family Court,6840,,,217250,"The Concourse, Clarence House, Clarence Square, Newport,NP19 7AA",,Open,South East Wales,Wales
Neath Port Talbot County Borough Council,SwanseaDFC,Swansea Civil And Family Justice Centre,6930,,,234946,"Quay West, Quay Parade,SA1 1SP",,Open,South West Wales,Wales
Newcastle City Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4510,,,366796,"Barras Bridge, Newcastle-Upon-Tyne,NE99 1NA",,Open,Newcastle and North Durham,North East
Newport City Council,Newport Civil and Family Court,Newport (South Wales) County Court And Family Court,6935,,,217250,"The Concourse, Clarence House, Clarence Square, Newport,NP19 7AA",,Open,South East Wales,Wales
Norfolk County Council,Norwich Combined Court,Norwich Combined Court Centre,2600,,,471332,"The Law Courts, Bishopgate,NR3 1UR",,Open,Norfolk,South East
North East Lincolnshire Council ,Kingston upon Hull Combined Court,Kingston-Upon-Hull Combined Court Centre,2002,,,195520,"The Combined Court Centre,HU1 2EZ",,Open,Humberside,North East
North Lincolnshire Council ,Kingston upon Hull Combined Court,Kingston-Upon-Hull Combined Court Centre,2003,,,195520,"The Combined Court Centre,HU1 2EZ",,Open,Humberside,North East
North Northamptonshire Council,"Northampton Crown, County & Family Court","Northampton Crown Court, County Court And Family Court",2840,,,195489,"85 - 87 Lady's Lane, Northampton,NN1 3HQ",,Open,Northamptonshire,Midlands
North Tyneside Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4515,,,366796,"Barras Bridge, Newcastle-Upon-Tyne,NE99 1NA",,Open,Newcastle and North Durham,North East
North Yorkshire County Council ,York Combined Court,York County Court And Family Court,2745,,,107581,"Piccadilly, Piccadilly House,YO1 9WL",,Open,North Yorkshire,North East
Northumberland County Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,2935,,,366796,"Barras Bridge, Newcastle-Upon-Tyne,NE99 1NA",,Open,Newcastle and North Durham,North East
Nottingham City Council,Nottingham County & Family Court,Nottingham County Court And Family Court,3060,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands
Nottinghamshire County Council,Nottingham County & Family Court,Nottingham County Court And Family Court,3055,,,424213,"Canal Street,NG1 7EJ",,Open,Nottinghamshire ,Midlands
Oldham Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4220,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Oxfordshire City Council,Oxford County Court,Oxford Combined Court Centre,3100,,,371016,"St Aldates,OX1 1TL",,Open,Berkshire and Oxford,South East
Pembrokeshire County Council,Swansea DFC,Swansea Civil And Family Justice Centre,6845,,,234946,"Quay West, Quay Parade,SA1 1SP",,Open,South West Wales,Wales 
Peterborough City Council,Peterborough County Court,Peterborough Combined Court Centre,540,,,471569,"Crown Buildings, Rivergate,PE1 1EJ",,Open,Cambridgeshire,South East
Powys County Council,Swansea DFC,Swansea Civil And Family Justice Centre,6850,,,234946,"Quay West, Quay Parade,SA1 1SP",,Open,South West Wales,Wales 
Powys County Council,Wrexham DFC,Wrexham Law Courts,6850,SY21,,637145,"Bodhyfyd, The Law Courts,LL12 7BP",,Open,North Wales,Wales
Reading Borough Council,Reading County Court,Reading County Court And Family Court,345,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East
Redcar and Cleveland Borough Council ,Teesside Combined Court ,Teesside Combined Court Centre,728,,,195537,"The Combined Centre, Russell Street, Middlesbrough,TS1 2AE",,Open,Cleveland and South Durham,North East
Rhondda Cynon Taff County Borough Council,Cardiff Civil Justice Centre,Cardiff Civil And Family Justice Centre,6940,,,234850,"Park Street, Cardiff,CF10 1ET",,Open,South East Wales,Wales
Rochdale Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4225,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Rotherham Metropolitan Borough Council,Sheffield Designated Family Court,Sheffield Family Hearing Centre,4415,,,778638,"48 West Bar, Sheffield, South Yorkshire,S3 8PH",,Open,South Yorkshire,North East
Royal Borough of Windsor and Maidenhead,Reading County Court,Reading County Court And Family Court,355,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East
Rutland County Council,Peterborough County Court,Peterborough Combined Court Centre,2470,,,471569,"Crown Buildings, Rivergate,PE1 1EJ",,Open,Cambridgeshire,South East
Salford City Council,Manchester Civil Justice Centre,Manchester County And Family Court,4230,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Sandwell Metropolitan Borough Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,4620,,,41047,"Pipers Row, Wolverhampton,WV1 3LQ",,Open,Black Country & Shropshire,Midlands
Sefton Metropolitan Borough Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,4320,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
Sheffield City Council ,Sheffield Designated Family Court,Sheffield Family Hearing Centre,4420,,,778638,"48 West Bar, Sheffield, South Yorkshire,S3 8PH",,Open,South Yorkshire,North East
Shropshire Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,3245,,,41047,"Pipers Row, Wolverhampton,WV1 3LQ",,Open,Black Country & Shropshire,Midlands
Slough Borough Council,Reading County Court,Reading County Court And Family Court,350,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East
Solihull Metropolitan Borough Council,Birmingham Civil & Family Justice Centre,Birmingham Civil And Family Justice Centre,4625,,,231596,"Priory Courts, 33 Bull Street,B4 6DS",,Open,Birmingham & Solihull,Midlands
South Tyneside Metropolitan Borough Council ,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4520,,,366796,"Barras Bridge, Newcastle-Upon-Tyne,NE99 1NA",,Open,Newcastle and North Durham,North East
Southend Borough Council,Chelmsford DFC,Chelmsford County And Family Court,1590,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East
St Helens Borough Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,4315,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
Staffordshire County Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3450,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands
Stockport Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4235,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Stoke-on-Trent City Council,Stoke-on-Trent Combined Court,Stoke-On-Trent Combined Court,3455,,,195496,"Bethesda Street,ST1 3BP",,Open,Staffordshire,Midlands
Suffolk County Council,Chelmsford DFC,Chelmsford County And Family Court,3500,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East
Sunderland City Council,Newcastle Combined Court,Newcastle Civil And Family Courts And Tribunals Centre,4525,,,366796,"Barras Bridge, Newcastle-Upon-Tyne,NE99 1NA",,Open,Newcastle and North Durham,North East
Surrey County Council,Guildford County Court and Family Court,Guildford Magistrates' Court And Family Court,3600,,,568484,"Mary Road, The Law Courts,GU1 4PS",,Open,Surrey,South East
Tameside Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4240,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Telford & Wrekin Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,3240,,,41047,"Pipers Row, Wolverhampton,WV1 3LQ",,Open,Black Country & Shropshire,Midlands
The Vale of Glamorgan Council,Cardiff Civil Justice Centre,Cardiff Civil And Family Justice Centre,6950,,,234850,"Park Street, Cardiff,CF10 1ET",,Open,South East Wales,Wales
Thurrock Borough Council,Chelmsford DFC,Chelmsford County And Family Court,1595,,,816875,"Priory Place,CM2 0PP",,Open,Essex and Suffolk,South East
Torfaen County Borough Council,Newport Civil and Family Court,Newport (South Wales) County Court And Family Court,6945,,,217250,"The Concourse, Clarence House, Clarence Square, Newport,NP19 7AA",,Open,South East Wales,Wales
Trafford Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4245,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Wakefield Metropolitan District Council ,Leeds Combined Court,Leeds Combined Court Centre,4725,,,455174,"Oxford Row,LS1 3BG",,Open,West Yorkshire,North East
Walsall Metropoloitan Borough Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,4630,,,41047,"Pipers Row, Wolverhampton,WV1 3LQ",,Open,Black Country & Shropshire,Midlands
Warrington Borough Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,655,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
Warwickshire County Council,Coventry Combined Court Centre,Coventry Combined Court Centre,3700,,,497679,"Much Park Street, Coventry,CV1 2SN",,Open,Coventry & Warwickshire,Midlands
West Berkshire Council,Reading County Court,Reading County Court And Family Court,340,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East
West Northamptonshire Council,"Northampton Crown, County & Family Court","Northampton Crown Court, County Court And Family Court",2845,,,195489,"85 - 87 Lady's Lane, Northampton,NN1 3HQ",,Open,Northamptonshire,Midlands
West Sussex County Council,Brighton DFC,Brighton County And Family Court,3800,,,298390,"1 Edward Street Brighton East Sussex,BN2 0JD",,Open,Sussex,South East
Westmorland and Furness Council,Barrow-in Furness County Court and Family Court,Barrow-In-Furness County Court And Family Court,935,,,761518,"Abbey Road,LA14 5QX",,Open,Cumbria,North West
Westmorland and Furness Council,Carlisle Combined Court,Carlisle Combined Court,935,LA18;LA19,,45106,"Courts of Justice, Earl Street,CA1 1DJ",,Open,Cumbria,North West
Wigan Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4250,,,701411,"Bridge Street West,M60 9DJ",,Open,Greater Manchester,North West
Wirral Council,Liverpool Civil and Family Court,Liverpool Civil And Family Court,4325,,,345663,"Vernon Street, City Square,L2 2BX",,Open,Cheshire Merseyside,North West
Wokingham Borough Council,Reading County Court,Reading County Court And Family Court,360,,,185657,"Friar Street,RG1 1HE",,Open,Berkshire and Oxford,South East
Wolverhampton City Council,Wolverhampton Combined Court Centre,Wolverhampton Combined Court Centre,4635,,,41047,"Pipers Row, Wolverhampton,WV1 3LQ",,Open,Black Country & Shropshire,Midlands
Worcestershire County Council,Worcester Combined Court,Worcester Combined Court,1855,,,102050,"Shire Hall, Foregate Street,WR1 1EQ",,Open,Hereford & Worcester,Midlands
Wrexham County Borough Council,Wrexham DFC,Wrexham Law Courts,6955,,,637145,"Bodhyfyd, The Law Courts,LL12 7BP",,Open,North Wales,Wales
York City Council ,York Combined Court,York County Court And Family Court,2741,,,107581,"Piccadilly, Piccadilly House,YO1 9WL",,Open,North Yorkshire,North East
Gloucestershire County Council ,Gloucester and Cheltenham County and Family Court,Gloucester And Cheltenham County And Family Court,1600,,,198592,"Kimbrose Way, Gloucester Docks,GL1 2DE",,Open,Bristol,South West
Bristol city Council ,Bristol Civil and Family Justice Centre,Bristol Civil And Family Justice Centre,116,,,819890,"Redcliff Street,BS1 6GR",,Open,Bristol,South West
