Local Authority,Designated Family Ct,Specific PostCodes,Excludes,Address,email,epimmsId
Barnsley Metropolitan Borough Council,Sheffield Designated Family Court,,,,,
Bedford Borough Council ,Luton Justice Centre,,,,,
Birmingham City Council,Birmingham Civil & Family Justice Centre,,,,,
Blackburn with Darwen Borough Council ,Preston Crown Court and Family Court (Sessions House),,,,,
Blackpool Borough Council,Preston Crown Court and Family Court (Sessions House),,,,,
Blaenau Gwent County Borough Council,Newport Civil and Family Court,,,,,
Bolton Metropolitan Borough Council,Manchester Civil Justice Centre,,,,,
Bracknell Forest Council,Reading County Court,,,,,
Bridgend County Borough Council,Swansea DFC,,,,,
Brighton and Hove City County Council,Brighton DFC,,,,,
Buckinghamshire County Council  ,Milton Keynes County Court,,,,,
Bury Metropolitan Borough Council,Manchester Civil Justice Centre,,,,,
Caerphilly County Borough Council,Cardiff Civil Justice Centre,,,,,
Calderdale Metropolitan Borough Council,Leeds Combined Court,,,,,
Cambridgeshire County Council ,Peterborough County Court,,,,,
Cardiff City Council,Cardiff Civil Justice Centre,,,,,
Carmarthen County Council,Swansea DFC,,,,,
Central Bedfordshire Council ,Luton Justice Centre,,,,,
Ceredigion County Council,Swansea DFC,,,,,
Cheshire East Borough Council,Liverpool Civil and Family Court,,,,,
Cheshire West and Chester Council,Liverpool Civil and Family Court,,,,,
City and County of Swansea,Swansea DFC,,,,,
City of Bradford Metropolitan District Council,Leeds Combined Court,,,,,
City of London,Central Family Court,,,,,
Conwy County Borough Council,Caernarfon DFC,,,,,
Coventry City Council,Coventry Combined Court Centre,,,,,
Cumberland Council,Carlisle Combined Court,,,,,
Cyngor Gwynedd  Council,Caernarfon DFC,,,,,
Darlington Borough Council ,Teesside Combined Court ,,,,,
Denbighshire County  Council,Wrexham DFC,,,,,
Derby City Council,Derby Combined Court Centre,,,,,
Derbyshire County Council,Derby Combined Court Centre,,,,,
Doncaster Council ,Sheffield Designated Family Court,,,,,
Dudley Metropolitan Borough Council,Wolverhampton Combined Court Centre,,,,,
Durham County Council,Newcastle Combined Court,,,,,
Durham County Council ,Teesside Combined Court ,,,,,
East Riding of Yorkshire Council ,Kingston upon Hull Combined Court,,,,,
East Sussex County Council,Brighton DFC,,,,,
Essex County Council,Chelmsford DFC,,,,,
Flintshire County Council,Wrexham DFC,,,,,
Gateshead Metropolitan District Council ,Newcastle Combined Court,,,,,
Halton Borough Council,Liverpool Civil and Family Court,,,,,
Herefordshire Council,Worcester Combined Court,,,,,
Hertfordshire County Council,Watford County Court,,,,,
Hull City Council ,Kingston upon Hull Combined Court,,,,,
Isle of Anglesey County  Council,Caernarfon DFC,,,,,
Kent County Council,Canterbury DFC,,,,,
Kirklees Council ,Leeds Combined Court,,,,,
Knowsley Metropolitan Borough Council,Liverpool Civil and Family Court,,,,,
Lancashire County Council,Preston Crown Court and Family Court (Sessions House),,,,,
Leeds City Council ,Leeds Combined Court,,,,,
Leicester City,Leicester County Court & Family Court ,,,,,
Leicestershire County Council,Leicester County Court & Family Court ,,,,,
Lincolnshire County Council,Lincoln County Court & Family Court,,,,,
Liverpool City Council,Liverpool Civil and Family Court,,,,,
London Borough of Barking and Dagenham,East London Family Court,,,,,
London Borough of Barnet,West London Family Court,,,,,
London Borough of Bexley,East London Family Court,,,,,
London Borough of Brent ,West London Family Court,,,,,
London Borough of Bromley,East London Family Court,,,,,
London Borough of Camden,Central Family Court,,,,,
London Borough of Croydon,East London Family Court,,,,,
London Borough of Ealing ,West London Family Court,,,,,
London Borough of Enfield ,West London Family Court,,,,,
London Borough of Greenwich ,East London Family Court,,,,,
London Borough of Hackney,Central Family Court,,,,,
London Borough of Hammersmith and Fulham,Central Family Court,,,,,
London Borough of Haringey,West London Family Court,N2;N6;N8;N10;N11;N15;N17;N22,,,,
London Borough of Haringey,Central Family Court,N4,,,,
